,lat,long,irr_data
192,-16.0,34.0,152.85070148401826
193,-16.0,36.0,145.070725456621
194,-16.0,38.0,142.5088989726027
195,-16.0,40.0,178.95800970319635
196,-16.0,46.0,180.72708162100454
197,-16.0,48.0,171.44410273972602
198,-14.0,-76.0,194.94591837899543
199,-14.0,-74.0,152.11073915525117
200,-14.0,-72.0,166.32642465753423
201,-14.0,-70.0,147.1216558219178
202,-14.0,-68.0,112.89861757990867
203,-14.0,-66.0,123.60423059360731
204,-14.0,-64.0,117.81595547945206
205,-14.0,-62.0,121.6523812785388
206,-14.0,-60.0,126.843953196347
207,-14.0,-58.0,131.10173458904111
208,-14.0,-56.0,129.64473401826484
209,-14.0,-54.0,148.9313321917808
210,-14.0,-52.0,156.98846347031963
211,-14.0,-50.0,161.18422831050228
212,-14.0,-48.0,163.90072888127855
213,-14.0,-46.0,168.59274143835617
214,-14.0,-44.0,196.0215747716895
215,-14.0,-42.0,189.16183047945202
216,-14.0,-40.0,139.9415102739726
217,-14.0,14.0,184.60695947488585
218,-14.0,16.0,168.11729394977166
219,-14.0,18.0,160.18543436073057
220,-14.0,20.0,162.48132705479452
221,-14.0,22.0,170.29447260273972
222,-14.0,24.0,166.66176255707762
223,-14.0,26.0,166.58068892694064
224,-14.0,28.0,169.32501769406392
225,-14.0,30.0,162.41449714611872
226,-14.0,32.0,164.65830707762555
227,-14.0,34.0,155.09038755707763
228,-14.0,36.0,143.5721575342466
229,-14.0,38.0,148.36362499999998
230,-14.0,40.0,147.47975570776254
231,-14.0,48.0,180.1741609589041
232,-14.0,50.0,159.48419178082193
233,-12.0,-76.0,112.84213127853882
234,-12.0,-74.0,112.88070719178081
235,-12.0,-72.0,78.33163812785386
236,-12.0,-70.0,119.34637271689499
237,-12.0,-68.0,119.3447448630137
238,-12.0,-66.0,121.14053824200913
239,-12.0,-64.0,115.11545034246575
240,-12.0,-62.0,117.77742237442922
241,-12.0,-60.0,126.6966712328767
242,-12.0,-58.0,132.99977910958904
243,-12.0,-56.0,143.14958732876715
244,-12.0,-54.0,148.43575285388127
245,-12.0,-52.0,145.5466392694064
246,-12.0,-50.0,157.34605079908673
247,-12.0,-48.0,160.62850000000003
248,-12.0,-46.0,177.8708841324201
249,-12.0,-44.0,192.3714434931507
250,-12.0,-42.0,153.65942408675798
251,-12.0,-40.0,147.3562425799087
252,-12.0,-38.0,144.26146746575344
253,-12.0,14.0,123.90911815068493
254,-12.0,16.0,148.7714560502283
255,-12.0,18.0,153.38533732876712
256,-12.0,20.0,149.20610901826487
257,-12.0,22.0,158.67270776255708
258,-12.0,24.0,147.86838755707763
259,-12.0,26.0,151.70935787671232
260,-12.0,28.0,166.53378481735157
261,-12.0,30.0,176.90089897260273
262,-12.0,32.0,174.95731335616438
263,-12.0,34.0,157.93627397260275
264,-12.0,36.0,139.88375799086754
265,-12.0,38.0,147.06039269406392
266,-12.0,40.0,146.27721175799087
267,-10.0,-78.0,165.23720890410962
268,-10.0,-76.0,95.18543607305935
269,-10.0,-74.0,117.78230764840181
270,-10.0,-72.0,109.32427796803654
271,-10.0,-70.0,112.23599942922374
272,-10.0,-68.0,114.10008447488585
273,-10.0,-66.0,114.78375684931507
274,-10.0,-64.0,110.90987442922375
275,-10.0,-62.0,121.64973744292237
276,-10.0,-60.0,123.57937385844748
277,-10.0,-58.0,126.35173972602739
278,-10.0,-56.0,143.12121974885846
279,-10.0,-54.0,143.25315810502283
280,-10.0,-52.0,141.3370730593607
281,-10.0,-50.0,148.29623858447488
282,-10.0,-48.0,155.32527111872147
283,-10.0,-46.0,173.89096632420092
284,-10.0,-44.0,182.79610388127853
285,-10.0,-42.0,157.66232990867582
286,-10.0,-40.0,161.70577910958903
287,-10.0,-38.0,165.07078367579908
288,-10.0,14.0,105.54735388127854
289,-10.0,16.0,151.42234360730595
290,-10.0,18.0,138.03172602739724
291,-10.0,20.0,144.87755308219178
292,-10.0,22.0,141.99627796803657
293,-10.0,24.0,145.01418036529677
294,-10.0,26.0,139.61650856164383
295,-10.0,28.0,155.25814611872144
296,-10.0,30.0,154.6729988584475
297,-10.0,32.0,165.93216438356166
298,-10.0,34.0,181.62641952054796
299,-10.0,36.0,124.23930878995434
300,-10.0,38.0,131.90405079908678
301,-8.0,-78.0,116.96715525114156
302,-8.0,-76.0,96.36000057077625
303,-8.0,-74.0,113.36771746575342
304,-8.0,-72.0,114.87052910958904
305,-8.0,-70.0,112.31067579908677
306,-8.0,-68.0,111.37416723744293
307,-8.0,-66.0,110.22323059360731
308,-8.0,-64.0,114.30477625570778
309,-8.0,-62.0,122.09396232876713
310,-8.0,-60.0,115.73725342465752
311,-8.0,-58.0,126.91620262557078
312,-8.0,-56.0,128.6586872146119
313,-8.0,-54.0,132.3002694063927
314,-8.0,-52.0,122.18772602739726
315,-8.0,-50.0,138.96918264840184
316,-8.0,-48.0,146.53128995433792
317,-8.0,-46.0,156.09434531963473
318,-8.0,-44.0,169.0123801369863
319,-8.0,-42.0,183.03509988584477
320,-8.0,-40.0,165.76377111872145
321,-8.0,-38.0,184.31881335616438
322,-8.0,-36.0,141.30800285388128
323,-8.0,14.0,95.73186187214611
324,-8.0,16.0,134.42064726027397
325,-8.0,18.0,129.10374543378995
326,-8.0,20.0,133.092674086758
327,-8.0,22.0,129.13892351598173
328,-8.0,24.0,133.71884132420092
329,-8.0,26.0,152.9511638127854
330,-8.0,28.0,152.31772545662102
331,-8.0,30.0,145.33146803652969
332,-8.0,32.0,190.71203424657537
333,-8.0,34.0,159.86196860730593
334,-8.0,36.0,100.71528881278537
335,-8.0,38.0,129.6378270547945
336,-8.0,112.0,136.56664668949773
337,-8.0,114.0,95.62054680365297
338,-6.0,-80.0,148.85883904109588
339,-6.0,-78.0,52.93879166666667
340,-6.0,-76.0,117.16370776255708
341,-6.0,-74.0,106.6373493150685
342,-6.0,-72.0,107.7355941780822
343,-6.0,-70.0,107.64505022831051
344,-6.0,-68.0,113.46694349315068
345,-6.0,-66.0,112.6986894977169
346,-6.0,-64.0,115.72178424657535
347,-6.0,-62.0,114.1182808219178
348,-6.0,-60.0,111.65136130136987
349,-6.0,-58.0,117.14474429223743
350,-6.0,-56.0,121.11036643835617
351,-6.0,-54.0,124.50166267123286
352,-6.0,-52.0,120.48356449771688
353,-6.0,-50.0,111.42873230593607
354,-6.0,-48.0,134.5306261415525
355,-6.0,-46.0,142.24362100456622
356,-6.0,-44.0,151.51612557077627
357,-6.0,-42.0,169.94260502283106
358,-6.0,-40.0,178.73224486301368
359,-6.0,-38.0,188.78301769406391
360,-6.0,-36.0,173.33384646118722
361,-6.0,14.0,88.30963584474885
362,-6.0,16.0,125.4701997716895
363,-6.0,18.0,116.69866038812786
364,-6.0,20.0,125.59948972602737
365,-6.0,22.0,120.12352739726029
366,-6.0,24.0,122.11923858447489
367,-6.0,26.0,127.02100799086759
368,-6.0,28.0,129.54869977168948
369,-6.0,30.0,125.61623801369862
370,-6.0,32.0,170.14423173515982
371,-6.0,34.0,166.53912499999998
372,-6.0,36.0,174.0537631278539
373,-6.0,38.0,117.00505194063926
374,-6.0,106.0,122.44147888127851
375,-4.0,-80.0,74.70428196347032
376,-4.0,-78.0,54.570750000000004
377,-4.0,-76.0,92.32519178082191
378,-4.0,-74.0,97.99508447488584
379,-4.0,-72.0,100.48626484018266
380,-4.0,-70.0,99.49712785388128
381,-4.0,-68.0,107.64565068493151
382,-4.0,-66.0,108.75516894977169
383,-4.0,-64.0,112.0708635844749
384,-4.0,-62.0,127.27911415525115
385,-4.0,-60.0,106.6938966894977
386,-4.0,-58.0,116.03421175799087
387,-4.0,-56.0,122.77088584474886
388,-4.0,-54.0,108.53350799086758
389,-4.0,-52.0,111.46551255707763
390,-4.0,-50.0,122.55098915525114
391,-4.0,-48.0,118.92330821917807
392,-4.0,-46.0,126.0830348173516
393,-4.0,-44.0,155.39605993150684
394,-4.0,-42.0,186.77409474885846
395,-4.0,-40.0,172.56554052511413
396,-4.0,12.0,68.17580022831051
397,-4.0,14.0,91.08687671232877
398,-4.0,16.0,110.5592642694064
399,-4.0,18.0,118.74279623287671
400,-4.0,20.0,111.0510850456621
401,-4.0,22.0,112.31377397260275
402,-4.0,24.0,111.54341152968038
403,-4.0,26.0,111.90170776255707
404,-4.0,28.0,123.58373344748857
405,-4.0,30.0,134.2467203196347
406,-4.0,32.0,156.7257979452055
407,-4.0,34.0,182.67229109589042
408,-4.0,36.0,136.34430136986302
409,-4.0,38.0,131.95931221461186
410,-4.0,104.0,118.83786529680364
411,-2.0,-80.0,93.3884252283105
412,-2.0,-78.0,70.3756803652968
413,-2.0,-76.0,87.99600742009132
414,-2.0,-74.0,96.15633047945205
