"Country/area",Technology,Data Type,Grid connection,Year,Electricity statistics
"Jordan",Solar photovoltaic,Electricity Generation (GWh),All,2021,3712.9730
"Kazakhstan",Solar photovoltaic,Electricity Generation (GWh),All,2021,1641.0900
"Kenya",Solar photovoltaic,Electricity Generation (GWh),All,2021,422.2050
"Kiribati",Solar photovoltaic,Electricity Generation (GWh),All,2021,5.4300
"Kosovo",Solar photovoltaic,Electricity Generation (GWh),All,2021,16.0350
"Kuwait",Solar photovoltaic,Electricity Generation (GWh),All,2021,72.7190
"Kyrgyzstan",Solar photovoltaic,Electricity Generation (GWh),All,2021,0.0000
"Lao People's Democratic Republic (the)",Solar photovoltaic,Electricity Generation (GWh),All,2021,47.8090
"Latvia",Solar photovoltaic,Electricity Generation (GWh),All,2021,6.7970
"Lebanon",Solar photovoltaic,Electricity Generation (GWh),All,2021,111.7120
"Lesotho",Solar photovoltaic,Electricity Generation (GWh),All,2021,0.7830
"Liberia",Solar photovoltaic,Electricity Generation (GWh),All,2021,3.6240
"Libya",Solar photovoltaic,Electricity Generation (GWh),All,2021,7.7910
"Lithuania",Solar photovoltaic,Electricity Generation (GWh),All,2021,190.8000
"Luxembourg",Solar photovoltaic,Electricity Generation (GWh),All,2021,180.1880
"Madagascar",Solar photovoltaic,Electricity Generation (GWh),All,2021,55.5630
"Malawi",Solar photovoltaic,Electricity Generation (GWh),All,2021,128.3000
"Malaysia",Solar photovoltaic,Electricity Generation (GWh),All,2021,430.0550
"Maldives",Solar photovoltaic,Electricity Generation (GWh),All,2021,46.2080
"Mali",Solar photovoltaic,Electricity Generation (GWh),All,2021,94.7010
"Malta",Solar photovoltaic,Electricity Generation (GWh),All,2021,255.9460
"Marshall Islands (the)",Solar photovoltaic,Electricity Generation (GWh),All,2021,1.9330
"Martinique",Solar photovoltaic,Electricity Generation (GWh),All,2021,90.7850
"Mauritania",Solar photovoltaic,Electricity Generation (GWh),All,2021,140.0140
"Mauritius",Solar photovoltaic,Electricity Generation (GWh),All,2021,156.3370
"Mayotte",Solar photovoltaic,Electricity Generation (GWh),All,2021,44.4500
"Mexico",Solar photovoltaic,Electricity Generation (GWh),All,2021,20194.9100
"Micronesia (Federated States of)",Solar photovoltaic,Electricity Generation (GWh),All,2021,3.1610
"Mongolia",Solar photovoltaic,Electricity Generation (GWh),All,2021,164.6940
"Montenegro",Solar photovoltaic,Electricity Generation (GWh),All,2021,2.5000
"Montserrat",Solar photovoltaic,Electricity Generation (GWh),All,2021,1.6060
"Morocco",Solar photovoltaic,Electricity Generation (GWh),All,2021,562.0130
"Mozambique",Solar photovoltaic,Electricity Generation (GWh),All,2021,71.3420
"Myanmar",Solar photovoltaic,Electricity Generation (GWh),All,2021,86.1900
"Namibia",Solar photovoltaic,Electricity Generation (GWh),All,2021,436.5500
"Nauru",Solar photovoltaic,Electricity Generation (GWh),All,2021,4.6800
"Nepal",Solar photovoltaic,Electricity Generation (GWh),All,2021,86.1400
"Netherlands (Kingdom of the)",Solar photovoltaic,Electricity Generation (GWh),All,2021,11495.4640
"New Caledonia",Solar photovoltaic,Electricity Generation (GWh),All,2021,187.6470
"New Zealand",Solar photovoltaic,Electricity Generation (GWh),All,2021,207.0000
"Nicaragua",Solar photovoltaic,Electricity Generation (GWh),All,2021,27.2710
"Niger (the)",Solar photovoltaic,Electricity Generation (GWh),All,2021,46.0930
"Nigeria",Solar photovoltaic,Electricity Generation (GWh),All,2021,101.6910
"Niue",Solar photovoltaic,Electricity Generation (GWh),All,2021,0.4690
"North Macedonia",Solar photovoltaic,Electricity Generation (GWh),All,2021,104.0430
"Norway",Solar photovoltaic,Electricity Generation (GWh),All,2021,174.5270
"Oman",Solar photovoltaic,Electricity Generation (GWh),All,2021,683.5230
"Pakistan",Solar photovoltaic,Electricity Generation (GWh),All,2021,1164.8160
"Palau",Solar photovoltaic,Electricity Generation (GWh),All,2021,4.4720
"Panama",Solar photovoltaic,Electricity Generation (GWh),All,2021,657.4810
"Papua New Guinea",Solar photovoltaic,Electricity Generation (GWh),All,2021,5.2870
"Paraguay",Solar photovoltaic,Electricity Generation (GWh),All,2021,0.7520
"Peru",Solar photovoltaic,Electricity Generation (GWh),All,2021,861.1810
"Philippines (the)",Solar photovoltaic,Electricity Generation (GWh),All,2021,1483.9940
"Poland",Solar photovoltaic,Electricity Generation (GWh),All,2021,3934.4480
"Portugal",Solar photovoltaic,Electricity Generation (GWh),All,2021,2237.1640
"Puerto Rico",Solar photovoltaic,Electricity Generation (GWh),All,2021,678.7600
"Qatar",Solar photovoltaic,Electricity Generation (GWh),All,2021,8.3640
"Republic of Korea (the)",Solar photovoltaic,Electricity Generation (GWh),All,2021,23394.0000
"Republic of Moldova (the)",Solar photovoltaic,Electricity Generation (GWh),All,2021,10.0000
"R�union",Solar photovoltaic,Electricity Generation (GWh),All,2021,269.6370
"Romania",Solar photovoltaic,Electricity Generation (GWh),All,2021,1703.3500
"Russian Federation (the)",Solar photovoltaic,Electricity Generation (GWh),All,2021,1453.3110
"Rwanda",Solar photovoltaic,Electricity Generation (GWh),All,2021,36.0580
"Saint Barth�lemy",Solar photovoltaic,Electricity Generation (GWh),All,2021,0.0660
"Saint Kitts and Nevis",Solar photovoltaic,Electricity Generation (GWh),All,2021,4.7590
"Saint Lucia",Solar photovoltaic,Electricity Generation (GWh),All,2021,7.5580
"Saint Martin (French Part)",Solar photovoltaic,Electricity Generation (GWh),All,2021,1.4680
"Saint Pierre and Miquelon",Solar photovoltaic,Electricity Generation (GWh),All,2021,0.0000
"Saint Vincent and the Grenadines",Solar photovoltaic,Electricity Generation (GWh),All,2021,2.3300
"Samoa",Solar photovoltaic,Electricity Generation (GWh),All,2021,23.0080
"Sao Tome and Principe",Solar photovoltaic,Electricity Generation (GWh),All,2021,0.2110
"Saudi Arabia",Solar photovoltaic,Electricity Generation (GWh),All,2021,112.3360
"Senegal",Solar photovoltaic,Electricity Generation (GWh),All,2021,381.4390
"Serbia",Solar photovoltaic,Electricity Generation (GWh),All,2021,59.3990
"Seychelles",Solar photovoltaic,Electricity Generation (GWh),All,2021,14.9740
"Sierra Leone",Solar photovoltaic,Electricity Generation (GWh),All,2021,6.1760
"Singapore",Solar photovoltaic,Electricity Generation (GWh),All,2021,561.0000
"Sint Maarten (Dutch Part)",Solar photovoltaic,Electricity Generation (GWh),All,2021,0.0000
"Slovakia",Solar photovoltaic,Electricity Generation (GWh),All,2021,671.0000
"Slovenia",Solar photovoltaic,Electricity Generation (GWh),All,2021,453.1130
"Solomon Islands",Solar photovoltaic,Electricity Generation (GWh),All,2021,3.1340
"Somalia",Solar photovoltaic,Electricity Generation (GWh),All,2021,36.7190
"South Africa",Solar photovoltaic,Electricity Generation (GWh),All,2021,6972.1540
"South Georgia and the South Sandwich Islands",Solar photovoltaic,Electricity Generation (GWh),All,2021,0.0000
"South Sudan",Solar photovoltaic,Electricity Generation (GWh),All,2021,1.9170
"Spain",Solar photovoltaic,Electricity Generation (GWh),All,2021,21922.0000
"Sri Lanka",Solar photovoltaic,Electricity Generation (GWh),All,2021,640.0650
"State of Palestine (the)",Solar photovoltaic,Electricity Generation (GWh),All,2021,224.0000
"Sudan (the)",Solar photovoltaic,Electricity Generation (GWh),All,2021,27.5090
"Suriname",Solar photovoltaic,Electricity Generation (GWh),All,2021,12.5920
"Sweden",Solar photovoltaic,Electricity Generation (GWh),All,2021,1526.0000
"Switzerland",Solar photovoltaic,Electricity Generation (GWh),All,2021,2842.0000
"Syrian Arab Republic (the)",Solar photovoltaic,Electricity Generation (GWh),All,2021,58.0800
"Tajikistan",Solar photovoltaic,Electricity Generation (GWh),All,2021,0.0000
"Thailand",Solar photovoltaic,Electricity Generation (GWh),All,2021,5011.1490
"Timor-Leste",Solar photovoltaic,Electricity Generation (GWh),All,2021,0.5510
"Togo",Solar photovoltaic,Electricity Generation (GWh),All,2021,72.5480
"Tokelau",Solar photovoltaic,Electricity Generation (GWh),All,2021,1.2260
"Tonga",Solar photovoltaic,Electricity Generation (GWh),All,2021,7.8620
"Trinidad and Tobago",Solar photovoltaic,Electricity Generation (GWh),All,2021,6.2280
"Tunisia",Solar photovoltaic,Electricity Generation (GWh),All,2021,164.0010
"T�rkiye",Solar photovoltaic,Electricity Generation (GWh),All,2021,13942.8600
"Turkmenistan",Solar photovoltaic,Electricity Generation (GWh),All,2021,0.0000
"Turks and Caicos Islands",Solar photovoltaic,Electricity Generation (GWh),All,2021,3.9620
"Tuvalu",Solar photovoltaic,Electricity Generation (GWh),All,2021,1.5280
"Uganda",Solar photovoltaic,Electricity Generation (GWh),All,2021,140.2740
"Ukraine",Solar photovoltaic,Electricity Generation (GWh),All,2021,7141.4370
"United Arab Emirates (the)",Solar photovoltaic,Electricity Generation (GWh),All,2021,5991.7410
"United Kingdom of Great Britain and Northern Ireland (the)",Solar photovoltaic,Electricity Generation (GWh),All,2021,12138.0000
"United Republic of Tanzania (the)",Solar photovoltaic,Electricity Generation (GWh),All,2021,27.4100
"United States of America (the)",Solar photovoltaic,Electricity Generation (GWh),All,2021,148153.2700
"United States Virgin Islands",Solar photovoltaic,Electricity Generation (GWh),All,2021,17.0800
"Uruguay",Solar photovoltaic,Electricity Generation (GWh),All,2021,483.4440
"Uzbekistan",Solar photovoltaic,Electricity Generation (GWh),All,2021,49.0000
"Vanuatu",Solar photovoltaic,Electricity Generation (GWh),All,2021,7.2840
"Venezuela (Bolivarian Republic of)",Solar photovoltaic,Electricity Generation (GWh),All,2021,8.6470
"Viet Nam",Solar photovoltaic,Electricity Generation (GWh),All,2021,25717.4900
"Yemen",Solar photovoltaic,Electricity Generation (GWh),All,2021,497.3960
"Zambia",Solar photovoltaic,Electricity Generation (GWh),All,2021,160.5580
"Zimbabwe",Solar photovoltaic,Electricity Generation (GWh),All,2021,59.2320
