longitude,latitude,wind_speed
10.0,-55.0,6.349822094016491
10.0,-50.0,6.812824840158618
10.0,-45.0,7.1467132680027134
10.0,-40.0,5.8075584390336585
10.0,-35.0,4.048036690560012
10.0,-30.0,5.117184508945871
10.0,-25.0,7.592778771333561
10.0,-20.0,7.521477369042535
10.0,-15.0,5.736889363233721
10.0,-10.0,3.618936298167952
10.0,-5.0,3.3195614761119785
10.0,0.0,0.6376657521782059
10.0,5.0,0.3920687402236525
10.0,10.0,1.527991005321563
10.0,15.0,3.3536565471841477
10.0,20.0,1.5610512508525993
10.0,25.0,0.9064399854558939
10.0,30.0,1.8041239494690855
10.0,35.0,0.9851079286258234
10.0,40.0,1.7953874975380524
10.0,45.0,0.549993588007686
10.0,50.0,1.757568681830656
10.0,55.0,2.1950645551382455
10.0,60.0,0.6927195609519833
10.0,65.0,2.980041863691735
10.0,70.0,3.151590840289581
10.0,75.0,3.069911280927228
10.0,80.0,2.8052936544376634
10.0,85.0,2.8384485842915823
10.0,90.0,2.767396012253789
15.0,-90.0,3.95366711916396
15.0,-85.0,5.087452768235934
15.0,-80.0,6.480141348788663
15.0,-75.0,3.8169726848987326
15.0,-70.0,7.0112417762282
15.0,-65.0,2.3905310239680455
15.0,-60.0,5.399898658192908
15.0,-55.0,6.8490520965896335
15.0,-50.0,7.0993291441004445
15.0,-45.0,6.940287608004032
15.0,-40.0,6.0134081299228965
15.0,-35.0,4.587791157326508
15.0,-30.0,5.671748063042309
15.0,-25.0,2.125561043272128
15.0,-20.0,1.9356360305879166
15.0,-15.0,0.8226816036753277
15.0,-10.0,0.7000253303394893
15.0,-5.0,1.5904431956581657
15.0,0.0,1.1001366975695615
15.0,5.0,0.8528405955053362
15.0,10.0,1.9224300596249027
15.0,15.0,3.9675257904545664
15.0,20.0,1.0697291049145947
15.0,25.0,2.8861765813591753
15.0,30.0,1.6195110040277687
15.0,35.0,2.185857537196591
15.0,40.0,1.4651793677054432
15.0,45.0,1.0158596207824004
15.0,50.0,1.6912515552400047
15.0,55.0,3.266384819222259
15.0,60.0,1.2403351238797728
15.0,65.0,1.185244880220076
15.0,70.0,3.157773213281533
15.0,75.0,3.0668793349892076
15.0,80.0,1.8354041634249858
15.0,85.0,2.8660756683675945
15.0,90.0,2.767396012253789
20.0,-90.0,3.95366711916396
20.0,-85.0,5.364100216222774
20.0,-80.0,6.300011278450248
20.0,-75.0,4.547025834962855
